episode,reward,epsilon,avg_loss
1,-1212.65387788331,0.995,
2,-991.8000000000002,0.990025,
3,-849.7468922753371,0.985074875,8504.3525390625
4,-760.4451730210067,0.9801495006250001,8167.8373616536455
5,-1347.658968575751,0.9752487531218751,8879.773803710938
6,-730.8000000000002,0.9703725093562657,8322.350504557291
7,-700.9474603188019,0.9655206468094844,8914.960611979166
8,-1044.0000000000002,0.960693043575437,8394.219034830729
9,-945.1650784878997,0.9558895783575597,6697.689453125
10,-887.4,0.9511101304657719,6172.396728515625
11,-1559.213943713933,0.946354579813443,6330.2666422526045
12,-730.8000000000002,0.9416228069143757,5568.257893880208
13,-887.4000000000001,0.9369146928798039,3886.9342244466147
14,-897.8943502190259,0.9322301194154049,4257.680063883464
15,-1295.5299541420122,0.9275689688183278,2573.1436462402344
16,-626.4,0.9229311239742362,3527.104334513346
17,-991.8000000000002,0.918316468354365,1263.0420735677083
18,-897.6815754090266,0.9137248860125932,1172.1538518269856
19,-952.5019030767603,0.9091562615825302,1444.777468363444
20,-889.5164038091598,0.9046104802746175,1874.7419128417969
21,-887.4000000000001,0.9000874278732445,1344.3000971476238
22,-939.6000000000001,0.8955869907338783,995.5927505493164
23,-691.409606458219,0.8911090557802088,1138.9211603800456
24,-835.2,0.8866535105013078,1472.8309275309246
25,-678.6,0.8822202429488013,1177.5087254842122
26,-626.4000000000001,0.8778091417340573,1383.3092346191406
27,-991.8000000000001,0.8734200960253871,583.3470764160156
28,-730.8,0.8690529955452602,767.4111277262369
29,-834.1376377359411,0.8647077305675338,770.5656331380209
30,-1360.1398595066535,0.8603841919146962,1321.283166249593
31,-626.4000000000001,0.8560822709551227,1124.9338696797688
32,-1063.6503596940267,0.851801859600347,1389.0283813476562
33,-1304.0457298713397,0.8475428503023453,1197.130536397298
34,-3083.970296591299,0.8433051360508336,11874.51757558187
35,-1423.3340644723426,0.8390886103705794,12665.782241821289
36,-718.9778486605537,0.8348931673187264,2142.4458211263022
37,-1913.9606605237223,0.8307187014821328,2260.696090698242
38,-1338.376282006752,0.8265651079747222,23506.264607747395
39,-859.488457269217,0.8224322824348486,22290.418937683105
40,-742.5394955337457,0.8183201210226743,1825.1356404622395
41,-835.2000000000002,0.8142285204175609,4106.946823120117
42,-747.4619415216686,0.810157377815473,3376.582000732422
43,-749.5519416278753,0.8061065909263957,21919.413604736328
44,-1586.612101782832,0.8020760579717637,2423.098996480306
45,-653.8320218177182,0.798065677681905,2955.669189453125
46,-678.6,0.7940753492934954,1838.7470804850261
47,-1391.5715041546973,0.7901049725470279,18811.569366455078
48,-745.0752218740774,0.7861544476842928,13817.087773640951
49,-941.5010487792346,0.7822236754458713,3429.027414957682
50,-836.0162422302939,0.778312557068642,14057.502685546875
51,-2162.1467600800333,0.7744209942832988,13524.782857259115
52,-590.5347998363909,0.7705488893118823,4059.0411834716797
53,-887.4000000000002,0.7666961448653229,16000.712346394857
54,-966.2683060934585,0.7628626641409962,16283.998474121094
