controller,ac_on_pct,comfort_pct,mean_indoor_temp,total_reward,window_open_pct
DQN,66.96918131972016,78.54509359047078,25.17708197669435,-794.4471234877327,30.92739648326716
Human,14.374172811495555,72.84458309699376,24.310188598979014,,52.16959727736812
Off_Closed,0.0,67.64038570618264,24.86285253831306,-1825.1243987776663,0.0
Window_Open,0.0,70.44337303838154,24.75285158053842,-1287.1160913709343,100.0
AC_25_Closed,100.0,81.05029306107014,25.04358028312644,-824.8991946509661,0.0
AC_26_Closed,100.0,70.01323501607109,25.64904447065375,-1036.7173988976965,0.0
AC_27_Closed,100.0,75.75628663263377,25.489264199286954,-857.2250138661051,0.0
